"Restaurant.name","offense_date","citstzip","staddress","comments","ins_date","X","seq_01","citation"
"Bell & Anchor Restaurant","1/1/2013","Great Barrington, MA 01230","","","17-Jan-13",NA,1,"R0590639"
"Bella Notte","1/1/2013","Bernardston, MA 01337","","","08-Jan-13",NA,1,"R1126876"
"Belle Notte","1/1/2013","Bernardston, MA 01337","199 Huckle Hill Road","","10-May-13",NA,1,"R1848185"
"Main Street Bar & Grille","1/1/2013","Plymouth, MA 02360","Main Street","","19-Jul-13",NA,NA,""
"Majestic Dragon","1/1/2013","Ipswich","Rte 1A","","",NA,NA,""
"Naga","1/1/2013","Cambridge, Ma.","","","17-Sep-14",NA,NA,""
"LOS RECUERDOS","1/2/2013","CHELSEA, MA. 02150","14-16A FIFTH STREET","","24-Jun-14",NA,NA,""
"43 Church","1/3/2013","Salem, MA 01970","","","07-Jan-13",NA,1,"R0893843"
"Gallagher's","1/3/2013","Worcester, MA 01608","","","30-Jan-13",NA,NA,""
"Slades Bar & Grill","1/3/2013","Roxbury Crossing, MA 02120","958 Tremont St","","04-Oct-13",NA,NA,""
"Uno Chicago Grill","1/3/2013","Bellingham, MA 02019","205 Hartford Ave","","25-Apr-13",NA,NA,""
"FRATERNAL ORDER OF EAGLES","1/4/2013","GARDNER, MA 01440","CITY HALL AVE","","28-May-13",NA,NA,""
"Mill Towne Tavern","1/4/2013","Millbury","49 Elm Street","","",NA,NA,""
"Mill Towne Tavern","1/4/2013","Milbury","49 Elm Street","","",NA,NA,""
"TGI FRIDAY'S","1/4/2013","LEOMINSTER, MA 01453","ORCHARD HILL DRIVE PARK","","16-Jul-13",NA,NA,""
"Uno Chicago Grill","1/4/2013","Bellingham","205 Hartford Avenue","","",NA,NA,""
"Private Res.","1/5/2013","xxxx","xxxx","45 DAY LOSS of LICENSE","25-Feb-14",NA,NA,""
"Taylor's Tavern","1/5/2013","Greenfield, MA 01301","","","08-Jan-13",NA,NA,""
"The Farm","1/5/2013","Essex, MA 01929","233 Western Avenue","","04-Nov-13",NA,NA,""
"Triangle Entertainment, LLC Maddy's","1/5/2013","SAUGUS MA. 01906","","","09-Jan-13",NA,NA,""
"demetris Function Facility","1/6/2013","Foxboro, Ma 02035","2 Washington Street","","20-May-14",NA,NA,""
"Fired Up","1/6/2013","Westfield, Ma 01085","Elm Street","","03-May-13",NA,NA,""
"Mama Blanca","1/6/2013","Everett, Ma 02149","37 Norwood Stret","","11-Sep-13",NA,NA,""
"SAUGUS WINGS LLC HOOTERS RESTAURANT 1143 BROADWAY","1/6/2013","Saugus","1143 BROADWAY","","",NA,NA,""
"The Squealing Pig","1/6/2013","Provincetown, MA 02657","335 Commercial STreet","","09-May-13",NA,NA,""
"The Wharf Pub","1/6/2013","Edgartown, MA 02539","","","28-Jan-13",NA,NA,""
"CHARLES SULLIVAN BUCHANAN'S CAFE","1/7/2013","Lynn","648 EASTERN AVE","","",NA,1,"R1926099"
"Blackstone Tap","1/8/2013","Worcester, MA 01604","81 Water Street","","17-Oct-13",NA,1,"R2235627"
"Mama Blanca","1/8/2013","Everett, MA 02149","37 Norwood Street","","11-Sep-13",NA,NA,""
"New Wa Toy","1/8/2013","Goffstown, NH","611 Mast Rd","","10-Sep-14",NA,NA,""
"Ocean Kai","1/8/2013","Hingham, MA 02043","","","08-Jan-13",NA,NA,""
"Showcase Cinema","1/8/2013","Foxboro, Ma 02035","Patriots Place","","01-Aug-13",NA,NA,""
"The Grog","1/8/2013","Newburyport, MA 01950","","","09-Jan-13",NA,NA,""
"The Winner's Circle","1/8/2013","Salisnury, MA 01952","","","09-Jan-13",NA,NA,""
"The Underground","1/9/2013","Provincetown, MA 02657","293 Commercial Street","","13-May-13",NA,NA,""
"Tomatoes Italian Grill & Bar","1/9/2013","Sandwich, Mass","","","22-Jan-13",NA,NA,""
"Finders Pub","1/10/2013","West Boylston, MA 01583","185 West Boylston St","","24-Jan-14",NA,NA,""
"Rumors","1/10/2013","Boston, Ma.","","","09-May-13",NA,NA,""
"Slattery's Restaurant","1/10/2013","Fitchburg, MA 01420","Lunenburg Street","","25-Apr-13",NA,NA,""
"Trio Cafe","1/10/2013","Dartmouth, MA 02747","780 State Road","","05-Apr-13",NA,NA,""
"TWO EAGLES RESTAURANT INC.","1/10/2013","Springfield","108-10 ISLAND POND RD","","",NA,NA,""
"Barber's Crossing","1/11/2013","Sterling, MA 01564","175 Leominster Road","","06-Sep-13",NA,1,"R1303944"
"Club Rio - Lawrence","1/11/2013","Lawrence, MA 01840","9 Appleton Street","","23-Jan-14",NA,NA,""
"El Cid","1/11/2013","Ludlow, MA 01056","1002 East St","","28-May-14",NA,NA,""
"LATITUDE 43","1/11/2013","Gloucester","25 Rogers Street","","",NA,NA,""
"Middlesex Lounge","1/11/2013","Cambridge, MA","315 Massachusetts Ave","","23-Jul-13",NA,NA,""
"PARK STREET PUB","1/11/2013","ANDOVER, MA 01810","40 PARK ST.","","11-Apr-13",NA,NA,""
"Polcari;s","1/11/2013","Saugus, MA 01906","","","17-Jan-13",NA,NA,""
"The Tavern","1/11/2013","Wrentham, Ma 02093","Shears Street","","01-Aug-13",NA,NA,""
"Blackstone Tap","1/12/2013","Worcester, MA 01604","","","14-Jan-13",NA,1,""
"BUDDY'S","1/12/2013","MIDDLEBORO, MA 02346","","","14-Jan-13",NA,1,""
"Fibber McGee","1/12/2013","Beverly, MA 01915","","","16-Jan-13",NA,NA,""
"Safari Club","1/12/2013","Brockton, MA 02301","22 Perkins Ave","","11-Apr-16",NA,NA,""
"SHOOTERS","1/12/2013","MIDDLEBORO, MA 02346","RTE 28","","23-Apr-13",NA,NA,""
"South Gardner Hotel","1/12/2013","Gardner, MA 01440","","","15-Jan-13",NA,NA,""
"SPARE TIME BOWLING ALLEY","1/12/2013","NORTHAMPTON, MA 01060","","","29-Jan-13",NA,NA,""
"The Winner's Circle","1/12/2013","Salisbury, MA 01950","","","14-Jan-13",NA,NA,""
"Gillette Stadium","1/13/2013","Foxboro Ma 02035","","","01-Feb-13",NA,NA,""
"Gillette Stadium","1/13/2013","Foxboro","Route One
 Providence Highway","","",NA,NA,""
"Gillette Staduim","1/13/2013","Foxboro, MA 02035","Route One","","13-Jan-14",NA,NA,""
"Point Breeze","1/13/2013","Webster, MA 01570","Point Breeze Road","","23-May-13",NA,NA,""
"Starlight Lounge","1/13/2013","Somerville MA 02143","3 Beacon St","","09-Jan-14",NA,NA,""
"The End Zone","1/13/2013","Mendon","Route 16","","",NA,NA,""
"BALI'S RESTAURANT","1/14/2013","LAWRENCE, MA 01840","59 ESSEX ST.","","11-Apr-13",NA,1,"R1603641"
"GAP GREAT AMERICAN PUB","1/14/2013","Raynham, MA","Route 138","","14-Jun-13",NA,NA,""
"Bousquet Ski Area","1/15/2013","Pittsfield","101 Dan Fox Drive","","",NA,1,"M9228155"
"MING DYNASTY","1/15/2013","Plymouth","WATER STREET","","",NA,NA,""
"Ten's Club","1/15/2013","Salisbury, MA 01952","North End Blvd","","02-Apr-13",NA,NA,""
"Johnnie's Beach House","1/16/2013","Pittsfield","87 Wahconah St","","",NA,NA,""
"PRIVATE","1/16/2013","PRIVATE","PRIVATE","","03-Oct-13",NA,NA,""
"Rumors","1/16/2013","Boston, MA","","","13-May-13",NA,NA,""
"Archie's","1/17/2013","Haverhill, Ma 01831","Lafayette Square","","30-Apr-13",NA,1,"R0449887"
"JJ McKay's","1/17/2013","Wayland, MA","Cochituate Rd","","19-Jun-13",NA,NA,""
"Bogies Restaurant & Pub","1/18/2013","Great Barrington","935 S. Main Street","","",NA,1,""
"Iron Horse","1/18/2013","Northampton","Center Street","","",NA,NA,""
"Barrett's Ale House","1/19/2013","Bridgewater, MA 02324-3115","425 Bedford Street","","10-Nov-15",NA,1,"R1931333"
"Captain's Lounge","1/19/2013","Leominster Ma 01453","1536 Main Street","","03-Sep-13",NA,1,"NONE"
"Chopstick's Restaurant","1/19/2013","Leominster, MA 01453","","","23-Jan-13",NA,1,"R2050866"
"Focaccias","1/19/2013","Wilmington ma.01887","2 Lowell ST","","14-Jun-13",NA,NA,""
"Howl at the Moon Boston","1/19/2013","Boston, MA 02110","184 High St.","","26-Nov-13",NA,NA,""
"Stars on the Harbor","1/19/2013","Hingham, MA 02043","","","28-Jan-13",NA,NA,""
"Tulips","1/19/2013","Stoneham, Ma. 02180","119 Main Street","","07-Jun-13",NA,NA,""
"Allium","1/20/2013","Great Barrington, MA 01230","","","24-Jan-13",NA,1,"M9227098"
"Beer Garden","1/20/2013","South Boston, MA 02127","","","24-Jan-13",NA,1,"R0280395"
"Bras Grill","1/20/2013","Everett, Ma.","","","24-Apr-13",NA,1,"R1708245"
"BREW HOUSE","1/20/2013","BRAINTREE MA 02184","250 GRANITE ST","","04-Apr-13",NA,1,"R1926390"
"Candleworks","1/20/2013","New Bedford MA","","","28-Jan-13",NA,1,"R2557122"
"CBS Scene","1/20/2013","Foxboro, MA 02035","200 Patriot Place","","08-May-14",NA,1,"R1167564"
"Cim's","1/20/2013","Pittsfield MA 01201","Fenn St","","16-Jun-14",NA,1,"R2084974"
"FOXBORO STADIUM","1/20/2013","Foxboro, MA 02035","","","30-Jan-13",NA,NA,""
"Gillette Stadium","1/20/2013","Foxboro, Ma 02035","Rout 1","","22-Apr-13",NA,NA,""
"Polcari's","1/20/2013","Saugus, MA 01906","","","30-Jan-13",NA,NA,""
"Polcari's Restaurant","1/20/2013","Saugus, MA 01906","92 Broadway","","02-Sep-14",NA,NA,""
"Quan's Kitchen","1/20/2013","Hanover, MA 02339","","","30-Jan-13",NA,NA,""
"The Monkey Bar","1/20/2013","Amherst, MA 01002","63 North PLeasant Street","","21-Nov-13",NA,NA,""
"Classic's Pub","1/21/2013","Leominster, MA 01453","","","24-Jan-13",NA,NA,""
"The Farm","1/21/2013","Essex","Rte 22","","",NA,NA,""
"Golden Abacus","1/22/2013","Norwood, MA 02062","1275 Providence High","","16-Jul-13",NA,NA,""
"Porthole Pub","1/22/2013","Lynn, MA 01901","98 Lynnway","","02-Apr-14",NA,NA,""
"Breen's","1/23/2013","Worcester","18 Cambridge Street","","",NA,1,""
"Capone's Pub","1/23/2013","Weymouth, MA 02189","1229 Washington Street","","03-Dec-14",NA,1,""
"Partner's Pub","1/23/2013","Fitchburg, Ma 01420","","","25-Jan-13",NA,NA,""
"Capitol Grill","1/24/2013","Burlington","Wayside Rd","","",NA,1,"R0958651"
"Agave","1/25/2013","Newburyport, MA 01950","","","28-Jan-13",NA,1,"R1521469"
"Bar Louis","1/25/2013","Foxboro, Ma 02038","","","30-Jan-13",NA,1,"R1515583"
"Courthouse Pub","1/25/2013","Peabody, Ma. 01960","42 Central Street","","30-Apr-14",NA,NA,""
"Rosebud Diner","1/25/2013","Somerville, MA","381 Summer St.","","26-Apr-13",NA,NA,""
"Storyville","1/25/2013","Boston MA 02116","90 Exeter St","","01-Nov-13",NA,NA,""
"The Monkey Bar","1/25/2013","Amherst, MA 01002","","","25-Jan-13",NA,NA,""
"Azorean Restaurant","1/26/2013","Gloucester","133 Washington Street","","",NA,1,"R0526887"
"Eaglebrook","1/26/2013","Norfolk Ma 02056","","","28-Jan-13",NA,NA,""
"LITTLEST BAR","1/26/2013","BOSTON MA","102 BROAD ST","","17-Apr-13",NA,NA,""
"New Tokyo Steak House","1/26/2013","Methuen, Ma 01844","70 Pleasant Valley","","17-Apr-13",NA,NA,""
"NONE","1/26/2013","NONE","NONE","","30-Oct-13",NA,NA,""
"Polcari's","1/26/2013","Saugus, MA 01906","92 Broadway","","15-May-13",NA,NA,""
"The Alamo","1/26/2013","Milford, MA 01757","55 Medway Road","","21-Aug-13",NA,NA,""
"Toby Keith's I love this Bar","1/26/2013","Foxboro","275 Patriot Place","","",NA,NA,""
"Up Towne Pub","1/26/2013","Franklin, Ma 02038","","","30-Jan-13",NA,NA,""
"Polish American Citizens Club","1/27/2013","Deerfield","46 S Main Street","","",NA,NA,""
"Polish Club","1/27/2013","Deerfield","46 S Main Street","","",NA,NA,""
"RIO'S BAR & GRILL","1/27/2013","LAWRENCE, MA 01940","9 APPLETON ST.","","10-Apr-13",NA,NA,""
"District","1/28/2013","Boston, Ma.","","","26-Sep-13",NA,NA,""
"private home","1/28/2013","n/a","n/a","","08-Apr-13",NA,NA,""
"The Liquor Store","1/28/2013","Boston, Ma.","","","28-Jan-13",NA,NA,""
"The Nook","1/28/2013","Westfield, MA 01085","Franklin Street","","18-Feb-14",NA,NA,""
"Blarney Stone","1/30/2013","Worcester, Ma 01602","77 Maywood St.","","14-Aug-13",NA,1,"M9843582"
"John Brewers Tavern","1/30/2013","Waltham Ma 02452","39 Main St","","17-Jun-13",NA,NA,""
"private establishment","1/30/2013","n/a","n/a","","14-Nov-14",NA,NA,""
"The Heritage","1/30/2013","Lenox, MA","Church St","","05-Dec-13",NA,NA,""
"Johnny's Beach Club","1/31/2013","Pittsfield","Wahconah Street","","",NA,NA,""
"La Hacienda","1/31/2013","East Boston, MA 02110","150 Meridian St","","13-Jun-13",NA,NA,""
"BARRETTS ALE HOUSE","2/1/2013","Bridgewater","UNKNOWN","","",NA,1,"R0650569"
"South Barre Rod & Gun","2/1/2013","Barre, MA 01037","2626 Barre Road","","13-Jun-13",NA,NA,""
"Tu Casa","2/1/2013","Chelsea, Ma. 02150","403 Broadway","","28-Jan-14",NA,NA,""
"Braza Grill","2/2/2013","Everett","158 School St","","",NA,1,"R1610401"
"Captain's Lounge","2/2/2013","Lunenburg, MA 01462","Lakefront Avenue","","23-Apr-13",NA,1,"R1686374"
"Casq N Flagon","2/2/2013","Marshfield, MA 02050","Marshfield, MA","","01-Apr-13",NA,1,"R2603681"
"Chip Shots","2/2/2013","Littleton, MA 01460","245 AYer Road","","16-Sep-13",NA,1,"R1941112"
"Majestic Dragon","2/2/2013","Ipswich, Ma 01938","Newburyport Tpk","","11-Jun-13",NA,NA,""
"Slatterys","2/2/2013","Fitchburg, MA 01420","106 Lunenburg Street","","06-Aug-13",NA,NA,""
"SLATTERY'S BACK ROOM","2/2/2013","FITCHBURG, MA 01420","106 LUNENBURG STREET","","01-Apr-13",NA,NA,""
"TD Banknorth Garden","2/2/2013","Boston","100 Legends Way","","",NA,NA,""
"Days Inn","2/3/2013","Oxford, MA 01540","287 Main St.","","03-Apr-13",NA,NA,""
"Fire & Ice","2/3/2013","Cambridge, MA","50 Church St.","","19-Nov-13",NA,NA,""
"Fushion","2/3/2013","Worcester, MA 01608","107A Water Street","","27-Jun-13",NA,NA,""
"Lucky's","2/3/2013","Boston","355 Congress","","",NA,NA,""
"Pottersville Pub","2/4/2013","Somerset, MA 02726","1104 County St.","","04-Jun-13",NA,NA,""
"CLEMS LIBERTY TAVERN","2/5/2013","CLINTON, MA 01510","301 HIGH STREET","","10-Sep-13",NA,NA,""
"Break Away Billards","2/6/2013","Clinton, Ma 01510","104 Sterling St.","","13-Jan-14",NA,1,"R1989366"
"Polish American Citizens Club","2/6/2013","Monson, MA 01057","7 Bliss St","","24-Mar-14",NA,NA,""
"Ralph's","2/6/2013","Worcester","95 Prescott Street","","",NA,NA,""
"No Drinking Est.","2/7/2013","xxxxx","xxxxx","90 Day Loss of License","07-Feb-14",NA,NA,""
"The Still","2/7/2013","Agawam MA","858 Suffield St","","09-May-13",NA,NA,""
"Ward 6 Club","2/7/2013","Lawrence, MA","57 Springfield Street","","28-Jan-14",NA,NA,""
"DISTRICT 7","2/8/2013","MALDEN, MA. 02148","139 PLEASANT STREET","","24-Apr-13",NA,NA,""
"Irish American Club","2/10/2013","Malden, Ma 02148","177 West Street","","24-Sep-13",NA,NA,""
"O'Shea's Olde Inn","2/11/2013","West Dennis","348 Route 28","","",NA,NA,""
"Parriot Tavern","2/11/2013","Walpole MA 02081","102 Main Street","","28-May-13",NA,NA,""
"Underbar","2/11/2013","Boston, Ma.","","","30-Oct-13",NA,NA,""
"British Beer Company","2/12/2013","Westford MA","149 Littleton Rd","","30-Oct-13",NA,1,"R1804636"
"Bobby Byrnes Restaurant","2/13/2013","Mashpee","PO Box 555","","",NA,1,"R1638808"
"Court Yard Restaurant & Pub","2/13/2013","Bourne","1337 County Road","","",NA,NA,""
"Maple Leaf","2/13/2013","Westfield, MA 01085","Arnold Street","","11-Apr-13",NA,NA,""
"SPUD'S RESTAURANT","2/13/2013","ROWLEY, MA 01969","ROUTE 1","","06-Dec-13",NA,NA,""
"Twelve Bens Tavern","2/13/2013","Dorchester, Massachusetts 02122","Adams Street","","25-Mar-14",NA,NA,""
"American Legion","2/14/2013","Easthampton, MA 01027","Pleasant Street","","02-Apr-13",NA,1,"R0540083"
"Bogies","2/14/2013","Great Barrington, MA 01230","935 S0. Main St","","20-Mar-14",NA,1,"R1892055"
"CHARLIE'S PLACE","2/14/2013","WAREHAM, MA 02571","RTE 28","","23-Oct-13",NA,1,"R2378480"
"Chooch's","2/14/2013","North Brookfield, MA 01535","31 East Brookfield Road","","03-Jul-13",NA,1,"M6901339"
"Kapi's Pub","2/14/2013","Uxbridge, MA 01569","270 NO. Main St","","25-Apr-13",NA,NA,""
"Boneyard","2/15/2013","Seekonk, MA 02771","540 Central Ave","","24-Mar-15",NA,1,"R1823340"
"KEY WEST","2/15/2013","NORTH ADAMS, MA 01247","STATE STREET","","29-Apr-13",NA,NA,""
"The Red Rooster","2/15/2013","Wrentham, MA 02093","Washington Street (Route 1)","","30-Oct-13",NA,NA,""
"Anthony's Pub","2/16/2013","S. Hadley","500 New Ludlow Road","","",NA,1,"R1725779"
"Atlantic Beer Garden","2/16/2013","Boston, MA","146 Northern Ave.","","12-Nov-13",NA,1,"M3402366"
"Beer Works","2/16/2013","Salem, MA 01970","278 Derby Street","","21-Jun-13",NA,1,"R1966612"
"Jake & Joe""s","2/16/2013","Norwood, Ma 02062","475 Providence Hwy","","02-Apr-13",NA,NA,""
"Sully's First Edition Pub","2/16/2013","Marlboro","11B Florence Street","","",NA,NA,""
"The Derby","2/16/2013","Everett, MA. 02149","330-32 FERRY STREET","","15-May-13",NA,NA,""
"Artery Lounge","2/17/2013","North Adams, MA 01247","Union Street","","03-Dec-13",NA,1,"R1573227"
"Fusion Restaurant","2/17/2013","Ashland, MA 01721","12 Pond Street","","18-Apr-13",NA,NA,""
"Hingham Beer Works","2/17/2013","Hingham","18 Shipyard Drive #1K","","",NA,NA,""
"La Avioneta","2/17/2013","East Boston, MA 02128","1233 Bennington Street","","12-Apr-13",NA,NA,""
"South Gardner Hotel","2/17/2013","Gardner, MA 01440","8 - 12 East Broadway","","25-Jun-13",NA,NA,""
"UNDERGROUND PUB","2/17/2013","PITTSFIELD, MA 01201","SOUTH STREET","","12-Apr-13",NA,NA,""
"V's Dog House","2/17/2013","Lanesboro, MA 01237","Cheshire Road","","21-Oct-13",NA,NA,""
"Gardner Ale House","2/18/2013","Gardner, Ma. 01440","74 Parker St","","07-Jun-13",NA,NA,""
"Bobby Burns Mgmnt Corp D/B/A The Lanes Bowl & Bist","2/19/2013","Sandwich","PO Box 1659","","",NA,1,"R1325922"
"BONCALDO, INC. BON CALDO","2/19/2013","Norwood","1381 BOSTON ROV. TPK","","",NA,1,"R2108562"
"Auditorium Pub","2/20/2013","Chicopee, MA 01020","52 Gladu Avenue","","01-Apr-13",NA,1,"R1387482"
"Chilis","2/20/2013","Wilmington","x","","17-Jul-13",NA,1,"R0787565"
"Lake Pizza","2/20/2013","Webster","39 Thompson Road","","",NA,NA,""
"Mandarin of Wilbraham","2/20/2013","Wilbraham, MA 01095","Boston Rd","","12-Jul-13",NA,NA,""
"Bishops Lounge","2/21/2013","Northampton, MA 01060","Strong Street","","09-Apr-13",NA,1,"R0580130"
"Burtons Grill","2/21/2013","North Andover, MA 01845","145 Turnpike Street","","14-Aug-15",NA,1,"R1977035"
"Cheng-Du","2/21/2013","Westboro, MA 01581","157 Turnpike Rd","","14-Nov-13",NA,1,"R2390907"
"Hong Kong","2/21/2013","Boston","Fanueil Hall","","",NA,NA,""
"John Brewers","2/21/2013","Waltham Ma 02452","39 Main St","","04-Apr-13",NA,NA,""
"Opa-Opa","2/21/2013","Southampton","College Highway","","",NA,NA,""
"Ricardo's","2/21/2013","Lowell, MA 01852","110 Gorham St.","","29-Apr-14",NA,NA,""
"Dempseys","2/22/2013","Hyde Park, Mass. 02136","1185 River Stree","","03-Jun-13",NA,NA,""
"Horseshoe Bar","2/22/2013","Hudson, NH 03051","29 South St","","10-Jun-15",NA,NA,""
"Italian Community Center","2/22/2013","Beverly, Ma 01915","302 Rantoul Street","","26-Feb-14",NA,NA,""
"Slattery's Restaurant","2/22/2013","Fitchburg MA 01420","106 Lununburg St.","","26-Mar-14",NA,NA,""
"3 Masons Bar","2/23/2013","Marshfield, MA","Marshfield, MA","","08-Jul-13",NA,1,"R1423091"
"Bootlegger's","2/23/2013","Lunenburg, MA 01462","50 Massachusetts Avenue","","04-Oct-13",NA,1,"R0892606"
"Olde Heritage Tavern","2/23/2013","Lenox","12 Housatonic Street","","",NA,NA,""
"Paddy Kelly's Restaraunt & Pub","2/23/2013","Peabody","154 Washington Street","","",NA,NA,""
"Panda Garden","2/23/2013","Southbridge","102 Mechanic St","","",NA,NA,""
"The Ravens Nest","2/23/2013","Walpole Ma 02081","998 Main Street","","14-May-13",NA,NA,""
"All Seasons Table","2/24/2013","MALDEN MA 02148","62-64 PLEASANT STREET","","15-May-13",NA,1,"R0429160"
"CBS Scene","2/24/2013","Foxboro, Ma 02035","200 Patriot Place","","22-Nov-13",NA,1,"R0758968"
"Major's Cafe","2/24/2013","Fitchburg, MA 01420","149 Lunenburg Street","","23-Sep-13",NA,NA,""
"Mike's Place","2/24/2013","Orange, MA 01364","81 East River Street","","31-Oct-13",NA,NA,""
"Oye's","2/24/2013","Reading, MA 01867","26 Walkers Brook Drive","","18-Mar-14",NA,NA,""
"Jose Murphy's","2/25/2013","Worcester, MA 01604","97 Water Street","","10-Jun-13",NA,NA,""
"Olde Heritage Tavern","2/25/2013","Lenox","12 Housatonic Street","","",NA,NA,""
"Partners Pub","2/25/2013","Fitchburg, MA 01420","970 South Street","","13-Aug-13",NA,NA,""
"Bali Hai","2/26/2013","Lynnfield, MA 01940","Moulton Drive and Oak Street","","10-Sep-13",NA,1,"M9227467"
"RedBones","2/27/2013","Somerville, Ma.","55 Chester Street","","13-May-13",NA,NA,""
"Smokey Bones","2/27/2013","Stoughton,MA 02072","301 Technology Center Dr.","","23-Oct-13",NA,NA,""
"Copley Plaza Hotel","2/28/2013","Boston, MA 02116","138 St.James Street","","18-Apr-13",NA,NA,""
"Sports & Spirits","2/28/2013","North Reading, MA 01864","178 Main St","","29-May-13",NA,NA,""
"T. J. Obriens","2/28/2013","Sturbridge, MA","407 Main St","","11-Apr-13",NA,NA,""
"All Seasons Table","3/1/2013","Malden, MA 02148","64 Pleasant St.","","09-Jun-14",NA,1,"M9508543"
"Last Shot Bar and Grill","3/1/2013","Stoughton, Ma 02072","559 Washington Street","","11-Dec-13",NA,NA,""
"MIddlesex Lounge","3/1/2013","Cambridge MA 02139","315 Massachusetts Ave","","21-Aug-13",NA,NA,""
"Mohegan Sun","3/1/2013","Uncasville, CT","1 Mohegan Sun Blvd","","06-Aug-13",NA,NA,""
"Molly Kay's","3/1/2013","Lowell, MA 01851","489 Middlesex St.","","13-Mar-14",NA,NA,""
"PRIVATE","3/1/2013","X","X","","23-Apr-14",NA,NA,""
"Sinni's","3/1/2013","Dudley, MA 01571","Chase Avenue","","30-Sep-13",NA,NA,""
"SOPHIA'S SPORTS BAR","3/1/2013","SPRINGFIELD MA 01109","WILLIAMS ROAD","","15-May-13",NA,NA,""
"BAR LOUIE","3/2/2013","FOXBORO, MA 02035","ROUTE ONE
 PATRIOT PLACE","","10-Jun-13",NA,1,"R1142925"
"Graham's Package Store","3/2/2013","Springfield, MA","1649 Main Street","","10-Jun-13",NA,NA,""
"Hawk's Nest Tavern","3/2/2013","Northbridge, MA 01588","40 Plummer Ave","","09-Apr-13",NA,NA,""
"The Greatest Bar","3/2/2013","Boston, MA>","x","","05-Jun-13",NA,NA,""
"The Last Shot","3/2/2013","Stoughton, Ma 02072","559 Washington Street","","02-Sep-14",NA,NA,""
"The Point","3/2/2013","Boston, Ma","147 Hanover Street","","24-Apr-13",NA,NA,""
"The Wok","3/2/2013","Deerfield, MA 01342","State Road, Rt. 5& 10","","30-Jul-13",NA,NA,""
"Twin Rivers Casino","3/2/2013","Rhode Island","Rt146","","16-Oct-14",NA,NA,""
"Upper Deck","3/2/2013","Barre, MA 01005","377 Stetson Rd.","","10-Jul-13",NA,NA,""
"Club Alex's","3/3/2013","Stoughton, MA 02072","584 Washington Street","","02-Oct-13",NA,NA,""
"CROW'S NEST ASSOCIATES, INC CROW'S NEST","3/3/2013","Gloucester MA 01930","334 Main Stl","","08-Apr-13",NA,NA,""
"Joshua Tree Bar & Grill","3/3/2013","Somerville, MA.","256 Elm Street","","03-Apr-13",NA,NA,""
"KEY WEST BAR","3/3/2013","NORTH ADAMS, MA 01247","STATE STREET","","15-Aug-13",NA,NA,""
"Mill Street Brew","3/3/2013","Southbridge, MA 01550","18 Mill Street","","06-Jun-13",NA,NA,""
"North Bowl","3/3/2013","North Attleboro, Ma 02760","71 E Washington Street","","29-Apr-13",NA,NA,""
"Private Home","3/3/2013","n/a","n/a","","06-Jun-13",NA,NA,""
"RED ROCK FOOD CONCEPTS, INC. RED ROCK BISTRO","3/3/2013","SWAMPSCOTT MA 01907","141 HUMPHREY ST.","","20-Jun-14",NA,NA,""
"Tavern in the Square","3/3/2013","Burlington MA 01803","1 New England Executive Park","","13-Mar-14",NA,NA,""
"The Brickyard","3/3/2013","Woburn Ma 01801","371 Main St","","25-Mar-14",NA,NA,""
"White Horse Tavern","3/3/2013","Allston Ma","116 Brighton Ave","","30-Sep-13",NA,NA,""
"C O R N E R P U B","3/4/2013","A S H L A N D, M A S S A C H U S E T T S 01721","M A I N S T R E E T","","03-Jun-14",NA,1,"R0202565"
"Cabaret Lounge","3/4/2013","Peabody, MA 01960","96 Newbury St","","09-Apr-13",NA,1,"R1577590"
"Placa Mexico","3/4/2013","Chelsea, Ma.","","","12-May-14",NA,NA,""
"Smokey Bones","3/5/2013","Stoughton,MA 02072","301 Technology Center Dr","","09-Sep-13",NA,NA,""
"The Corner Pocket Pub","3/5/2013","Southbridge, MA 01550","16 Central St.","","12-May-14",NA,NA,""
"Tavern","3/6/2013","Somerville, Ma.","","","06-May-13",NA,NA,""
"Buzzards Bay Tavern","3/7/2013","Buzzards Bay, Ma 02532","149 Main St","","23-Apr-13",NA,1,"R0897041"
"Cindy's Sport's Bar","3/7/2013","Palmer, MA 01069","1618 North Main St","","26-Apr-13",NA,1,"R1729299"
"Post 390","3/7/2013","Boston, MA 02116","406 Stuart Street","","25-Jun-15",NA,NA,""
"Mama Mias","3/8/2013","Marshfield, MA","Marshfield, MA","","26-Apr-13",NA,NA,""
"Tsongas Arena","3/8/2013","Lowell, Ma. 01852","300 Martin Luther King Way","","25-Apr-13",NA,NA,""
"Carlins Rest. & Bar","3/9/2013","Ayer, Ma. 01432","7 Depot Square","","25-Apr-13",NA,1,"R2071406"
"Chef Orient Restaurant","3/9/2013","Framingham, MA 01701","1583 Worcester Road","","19-Apr-13",NA,1,"R2320492"
"Chin's Garden","3/9/2013","Marlboro, MA 01752","547 Boston Post Road","","30-Apr-14",NA,1,"R2330513"
"Liquor Store","3/9/2013","Boston, Ma 02116","25 Boylston PL","","12-Feb-14",NA,NA,""
"MEADOW LOUNGE","3/9/2013","E. PROVIDENCE, RI","UNKNOWN","","30-Apr-13",NA,NA,""
"Olde Heritage Tavern","3/9/2013","Lenox, MA 01240","12 Housatonic Street","","11-Apr-13",NA,NA,""
