Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Murder and nonnegligent manslaughter
Agency,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
Kansas City Police Dept,MO,         121,         135,         150,         153,         142,         107,         104,         100,         130,         117,         113,         103,          83,          82,          89,         126,         112,          90,         115,         100,         102,         108,         105,          99,          79, 
St. Louis Police Dept,MO,         177,         260,         231,         267,         248,         204,         166,         153,         113,         130,         124,         148,         111,          74,         113,         131,         129,         138,         167,         143,         144,         113,         113,         120,         159, 
Lincoln Police Dept,NE,           3,           0,           7,           4,           2,           2,           3,           7,           9,           9,           3,           6,           6,           5,           6,           4,           5,           6,           4,           5,           2,           4,           3,           5,           7, 
Omaha Police Dept,NE,          12,          35,,          32,          33,          27,          27,          31,          28,          34,          37,          25,          26,          35,          20,          31,          33,          42,          44,          30,          34,          43,          41,          42,          32, 
Henderson Police Dept,NV,           8,           0,           9,           1,           4,           3,           7,           2,           3,           0,           8,           9,           4,          10,           7,           9,           5,           9,           5,           4,           8,           2,           4,           8,           3, 
Las Vegas Metropolitan Police Department,NV,,,,,,,,,,,          90,         133,         137,         141,         131,         145,         152,         119,         120,         111,         107,          82,          76,          97,         122, 
Jersey City Police Dept,NJ,          28,          22,          25,          20,          37,          25,          26,          26,          18,          15,          17,          25,          21,          24,          23,          38,          22,          20,          25,          28,          26,          18,          11,          20,          24, 
Newark Police Dept,NJ,         112,          88,          87,          96,          96,         102,          92,          57,          60,          69,          58,          90,          65,          81,          84,          97,         105,         104,          67,          80,          90,          94,          96,         112,          94, 
Albuquerque Police Dept,NM,          34,          51,          42,          50,          45,          53,          70,          49,          37,          48,          33,          34,          51,          51,          41,          53,          34,          47,          38,          56,          42,          35,          41,          37,          30, 
Buffalo Police Dept,NY,          37,          50,          76,          76,          90,          62,          56,          46,          39,          32,          39,          64,          43,          65,          51,          56,          74,          54,          37,          60,          55,          36,          48,          47,          60, 
New York City Police Dept,NY,       2245,       2154,       1995,       1946,       1561,       1177,         983,         770,         633,         664,         673,         714,         587,         597,         570,         539,         596,         496,         523,         471,         536,         515,         419,         335,         333, 
Charlotte-Mecklenburg Police Department,NC,,,,,,,,,,,,,,,,,,,,          58,          61,          56,          52,          59,          47, 
Greensboro Police Dept,NC,          20,          35,          23,          27,          21,          36,          23,          35,          20,          19,          21,          20,          28,          36,          14,          30,          27,          40,          24,          24,          20,,          21,          27,          23, 
Raleigh Police Dept,NC,          24,          25,          19,          27,          30,          18,          25,          23,          28,          16,          26,          10,          19,          14,          16,          20,          19,          23,          34,          14,          14,          17,          17,          12,, 
Cincinnati Police Dept,OH,          49,          54,          49,          39,          38,          50,          32,,,          28,          22,          56,          70,          72,          64,          79,          90,          62,          75,          55,          68,          61,          46,          70,          60, 
Cleveland,OH,         168,         175,         157,         167,         132,         129,         103,          77,          81,          78,          71,          77,          80,          73,          79,         109,          77,          90,          55,          83,          81,          74,          84,          58,          63, 
Columbus Police Dept,OH,          89,         138,         113,         105,         100,          77,          89,          84,          78,          71,          67,          81,          81,         109,          78,         103,          85,          79,         100,          82,          95,          87,,          78,          85, 
Toledo Police Dept,OH,          37,          36,          43,          45,          40,          35,          30,          25,          22,          15,          12,          18,          28,          21,          22,          28,          35,          13,          18,          33,          23,          30,          39,          28,          24, 
Oklahoma City Police Dept,OK,          68,          56,          61,          80,          65,         227,          67,          59,          56,          56,          38,          45,          38,          49,          39,          54,          55,          58,          57,          65,          54,          58,          85,          62,          45, 
Tulsa Police Dept,OK,          57,          42,          33,          54,          42,          30,          31,          40,          38,          41,          33,          34,          26,          61,          48,          58,          53,          55,          50,          68,          54,          49,          42,          60,          46, 
Portland Police Dept,OR,          33,          53,          46,          58,          50,          43,          51,          46,          26,          35,          19,          21,          20,          27,          29,          20,          20,          22,          26,          19,          22,          20,          20,          14,          26, 
Philadelphia Police Dept,PA,         503,         440,         425,         439,         404,         432,         420,         418,         338,         292,         319,         309,         288,         348,         330,         377,         407,         392,         331,         302,         306,         324,         331,         247,         248, 
Pittsburgh,PA,          35,          36,          44,          80,          64,          58,          47,          50,          36,          49,          37,          55,          47,          67,          46,          63,          56,          52,          72,          39,          55,          44,          41,          45,          69, 
Memphis Police Dept,TN,         195,         169,         176,         198,         159,         181,         161,         138,         115,         118,         147,         158,         149,         126,         107,         138,         149,         131,         138,         132,          89,         117,         133,         125,         139, 
Nashville-Davidson Metro Police Dept,TN,          67,          88,          90,          87,          73,         105,          89,         112,          97,          68,          72,          60,          63,          72,          59,          95,          80,          73,          76,          79,          55,          50,          62,          35,          42, 
Arlington Police Dept,TX,           8,          26,          16,           7,          18,           9,          17,          12,          13,          11,          14,          15,          14,           9,          14,          24,          14,          13,          23,          12,          16,          22,          17,          18,          13, 
Austin Police Dept,TX,          46,          49,          37,          37,          37,          46,          40,          40,          32,          21,          32,          26,          25,          27,          26,          26,          20,          30,          23,          22,          38,          28,          31,          26,          32, 
City Of Fort Worth Police Dept,TX,         130,         195,         153,         133,         132,         108,          68,          74,          64,          67,          61,          67,          53,          57,          52,          60,          50,          58,          49,          44,          63,          48,          45,          49,          53, 
Corpus Christi Police Dept,TX,          29,          32,          30,          34,          13,          31,          18,          18,          17,          15,          17,          19,          19,          21,          25,           8,          21,          17,          19,          12,          16,          12,          16,          18,          27, 
Dallas Police Dept,TX,         447,         500,         387,         317,         295,         276,         217,         209,         252,         191,         231,         240,         196,         226,         248,         202,         187,         200,         170,         166,         148,         133,         154,         143,         116, 
