leaid,leaname,fips,stateabb,gapblk,gapseblk,gaphsp,gapsehsp,racepercent
100005,ALBERTVILLE CITY,AL,AL,,,.5298000000000001,.0224,.99866641
100006,MARSHALL COUNTY,AL,AL,,,.2495,.0248,.99952853
100007,HOOVER CITY,AL,AL,.9385,.0137,.952,.0298,.99969202
100008,MADISON CITY,AL,AL,.9371,.0217,.7238,.0839,.99098152
100011,LEEDS CITY,AL,AL,.623,.0361,.5923000000000001,.1567,.99075639
100012,BOAZ CITY,AL,AL,,,.6598000000000001,.0375,1
100013,TRUSSVILLE CITY,AL,AL,.7176,.0351,,,1
100030,ALEXANDER CITY,AL,AL,.821,.0234,.8241000000000001,.2094,.99948573
100060,ANDALUSIA CITY,AL,AL,.9334,.0314,,,1
100090,ANNISTON CITY,AL,AL,.522,.1444,,,.99810648
100120,ATHENS CITY,AL,AL,.9996,.0272,.9637,.0354,.99824864
100180,ATTALLA CITY,AL,AL,.5384,.0475,,,1
100185,SARALAND CITY,AL,AL,.653,.0429,,,.99959153
100188,CHICKASAW CITY,AL,AL,.6234,.2132,,,1
100210,AUBURN CITY,AL,AL,1.2186,.0253,.3237,.5401,.99742484
100240,AUTAUGA COUNTY,AL,AL,.7748,.0168,.3387,.6215000000000001,.99822581
100270,BALDWIN COUNTY,AL,AL,.8522,.0127,.5523,.0169,.99547756
100360,BIBB COUNTY,AL,AL,.6651,.0213,,,.99964839
100390,BIRMINGHAM CITY,AL,AL,.3065,.0677,.3074,.0772,.99989402
100420,BLOUNT COUNTY,AL,AL,,,.4283,.021,.99995279
100450,BREWTON CITY,AL,AL,1.2366,.0446,,,.9993543
100510,BUTLER COUNTY,AL,AL,.7142,.0232,,,.99824107
100540,CALHOUN COUNTY,AL,AL,.5326,.0251,.1641,.0599,.99921119
100600,CHAMBERS COUNTY,AL,AL,.5916,.0218,,,1
100630,CHEROKEE COUNTY,AL,AL,.2861,.0545,,,1
100660,CHILTON COUNTY,AL,AL,.5955,.0194,.303,.0239,.99903876
100690,CHOCTAW COUNTY,AL,AL,.3684,.033,,,1
100720,CLARKE COUNTY,AL,AL,.73,.0221,,,1
100750,CLAY COUNTY,AL,AL,.5794,.0291,,,1
100840,COLBERT COUNTY,AL,AL,.4626,.0443,,,1
100870,CONECUH COUNTY,AL,AL,.1938,.115,,,1
100900,COOSA COUNTY,AL,AL,.4842,.0327,,,.99869728
100930,COVINGTON COUNTY,AL,AL,.3356,.1097,,,.99932212
100960,CRENSHAW COUNTY,AL,AL,.5366,.0259,,,1
100990,CULLMAN CITY,AL,AL,,,.6721,.1854,1
101020,CULLMAN COUNTY,AL,AL,,,.3239,.0291,.99991727
101050,DALE COUNTY,AL,AL,.7096,.0265,,,.99818438
101080,DALEVILLE CITY,AL,AL,.4944,.0366,,,1
101110,DALLAS COUNTY,AL,AL,.4394,.027,,,.99954557
101140,DEKALB COUNTY,AL,AL,,,.5069,.0212,.99992651
101170,DECATUR CITY,AL,AL,.9195,.0182,.8339,.0239,.99780011
101200,DEMOPOLIS CITY,AL,AL,.7916,.0315,,,.99825656
101230,DOTHAN CITY,AL,AL,.9355,.0152,.4558,.0511,.99994874
101260,ELBA CITY,AL,AL,.6313,.0472,,,1
101290,ELMORE COUNTY,AL,AL,.7137,.0146,.3939,.0452,.99824333
101320,ENTERPRISE CITY,AL,AL,.8496,.0216,.409,.0406,.99720681
101350,ESCAMBIA COUNTY,AL,AL,.6219,.0271,,,1
101380,ETOWAH COUNTY,AL,AL,.5584,.0522,1.0322,.1899,1
101410,EUFAULA CITY,AL,AL,.7366,.0259,,,1
101470,FAYETTE COUNTY,AL,AL,.6593,.0357,,,1
101530,FLORENCE CITY,AL,AL,.7202,.0204,.6526,.1617,.99968308
101560,FORT PAYNE CITY,AL,AL,,,.7696,.0224,1
101590,FRANKLIN COUNTY,AL,AL,,,.4868,.041,.99951971
101620,GADSDEN CITY,AL,AL,.6814,.0167,.717,.0288,.99969566
101660,GENEVA COUNTY,AL,AL,.615,.0289,.2446,.1304,.9993819
101690,GUNTERSVILLE CITY,AL,AL,.3816,.1641,,,1
101710,HALE COUNTY,AL,AL,.7404,.0373,,,.99971861
101730,HARTSELLE CITY,AL,AL,.8072,.1294,,,1
101740,HENRY COUNTY,AL,AL,.7971,.0237,,,.99937385
101760,HOMEWOOD CITY,AL,AL,1.376,.035,1.4632,.0532,.99692655
101770,HOUSTON COUNTY,AL,AL,.5679,.0188,,,.9997974
101800,HUNTSVILLE CITY,AL,AL,1.0987,.0145,.9411000000000001,.0193,.99832553
101830,JACKSON COUNTY,AL,AL,.6202,.1116,.2433,.1161,.99986094
101860,JACKSONVILLE CITY,AL,AL,.6855,.0315,,,1
101890,JASPER CITY,AL,AL,.8068,.0388,,,.99983335
101920,JEFFERSON COUNTY,AL,AL,.5846,.0097,.5434,.0146,.99884009
101950,LAMAR COUNTY,AL,AL,.594,.0305,,,1
102010,LAUDERDALE COUNTY,AL,AL,.5907,.0516,,,.99990416
102040,LAWRENCE COUNTY,AL,AL,.4171,.0358,,,.99929678
102070,LEE COUNTY,AL,AL,.4302,.0144,.0805,.0535,.99969894
102100,LIMESTONE COUNTY,AL,AL,.4328,.0207,.3202,.0257,.99992776
102220,MADISON COUNTY,AL,AL,.5105,.0134,.4143,.0275,.99447674
102250,MARENGO COUNTY,AL,AL,1.0828,.0605,,,.99971986
102370,MOBILE COUNTY,AL,AL,.6384,.0104,.2679,.0196,.99876595
102400,MONROE COUNTY,AL,AL,.3674,.0364,,,1
102430,MONTGOMERY COUNTY,AL,AL,.9479,.0145,.9205,.0277,.99847925
102480,MORGAN COUNTY,AL,AL,.8691,.1079,.6724,.0302,.99989432
102520,MUSCLE SHOALS CITY,AL,AL,.7717000000000001,.0354,,,1
102550,ONEONTA CITY,AL,AL,,,.6592,.0512,1
102580,OPELIKA CITY,AL,AL,1.0001,.0222,.7632,.2459,.99904841
102610,OPP CITY,AL,AL,.738,.0392,,,.99964911
102635,OXFORD CITY,AL,AL,.5846,.0236,.6405,.0376,.99460536
102640,OZARK CITY,AL,AL,.7564,.0281,,,.999789
102650,PELL CITY,AL,AL,.516,.0285,,,1
102700,PHENIX CITY,AL,AL,.6153,.0173,-.2814,.5283,.99833
102730,PICKENS COUNTY,AL,AL,.6619,.0455,,,1
102790,PIKE COUNTY,AL,AL,.6303,.0315,,,.99614656
102820,RANDOLPH COUNTY,AL,AL,.5889,.0414,,,1
102850,ROANOKE CITY,AL,AL,.8262000000000001,.0299,,,1
102880,RUSSELL COUNTY,AL,AL,.2804,.0235,.1457,.1793,.99356288
102910,RUSSELLVILLE CITY,AL,AL,.7689,.2157,.5059,.0322,.9999069
102940,SCOTTSBORO CITY,AL,AL,.966,.1583,,,.99982816
102970,SELMA CITY,AL,AL,.6563,.3599,,,.99949878
103000,SHEFFIELD CITY,AL,AL,.5903000000000001,.0382,,,.99693483
103030,SHELBY COUNTY,AL,AL,.6945,.0117,.7311,.012,.99745834
103062,ST CLAIR COUNTY,AL,AL,.5577,.0203,.0097,.141,.99989426
103120,SYLACAUGA CITY,AL,AL,.7587,.0254,,,1
103150,TALLADEGA CITY,AL,AL,.5911,.026,,,1
103180,TALLADEGA COUNTY,AL,AL,.4396,.0193,,,.99935341
103210,TALLAPOOSA COUNTY,AL,AL,.6037,.0306,,,1
103240,TALLASSEE CITY,AL,AL,.8705000000000001,.0286,,,.99903715
103300,THOMASVILLE CITY,AL,AL,.7914,.0315,,,.99974161
103330,TROY CITY,AL,AL,.9754,.034,,,.9998132
103360,TUSCALOOSA CITY,AL,AL,1.2953,.0193,1.012,.0787,.9995029
103390,TUSCALOOSA COUNTY,AL,AL,.6151,.0121,.4463,.0282,.99766076
103420,TUSCUMBIA CITY,AL,AL,.5786,.0318,,,1
103430,VESTAVIA HILLS CITY,AL,AL,1.2481,.0336,,,.99966544
103450,WALKER COUNTY,AL,AL,.436,.0251,,,.9998762
103480,WASHINGTON COUNTY,AL,AL,.7489,.0213,,,.99981481
200180,ANCHORAGE SCHOOL DISTRICT,AK,AK,.8343,.0105,.5863,.009,.98025328
200210,JUNEAU BOROUGH SCHOOL DISTRICT,AK,AK,,,.5037,.0487,.99075305
200390,KENAI PENINSULA BOROUGH SCHOOL DISTRICT,AK,AK,,,.2119,.0327,.99936479
200480,KODIAK ISLAND BOROUGH SCHOOL DISTRICT,AK,AK,,,.4631,.2801,.99480617
200510,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,AK,AK,.2449,.0698,.2493,.0263,.99848455
200600,FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT,AK,AK,.5385,.0194,.3057,.0173,.99802941
400001,CAVE CREEK UNIFIED DISTRICT,AZ,AZ,,,.5899,.027,.98939288
400003,CHINO VALLEY UNIFIED DISTRICT,AZ,AZ,,,.4004,.0233,.98649359
400212,BENSON UNIFIED SCHOOL DISTRICT,AZ,AZ,,,.2989,.0632,.98976785
400295,KINGMAN UNIFIED SCHOOL DISTRICT,AZ,AZ,.3501,.1685,.2419,.0169,.98070782
400600,ALHAMBRA ELEMENTARY DISTRICT,AZ,AZ,.4426,.0188,.2968,.0144,.99312496
400680,AMPHITHEATER UNIFIED DISTRICT,AZ,AZ,.7078,.0235,.6283,.0119,.98785377
400790,APACHE JUNCTION UNIFIED DISTRICT,AZ,AZ,,,.266,.0163,.98805845
400960,AVONDALE ELEMENTARY DISTRICT,AZ,AZ,.5468,.0251,.4096,.013,.99079067
401050,BALSZ ELEMENTARY DISTRICT,AZ,AZ,.7299,.0371,.3361,.0326,.98886871
401080,BEAVER CREEK ELEMENTARY DISTRICT,AZ,AZ,,,.1979,.2447,.98257565
401180,BISBEE UNIFIED DISTRICT,AZ,AZ,,,.5714,.0669,.98637968
401380,BUCKEYE ELEMENTARY DISTRICT,AZ,AZ,.3773,.0251,.3645,.0151,.98825353
401460,SIERRA VISTA UNIFIED DISTRICT,AZ,AZ,.3241,.0233,.3428,.0152,.96218461
401500,BULLHEAD CITY SCHOOL DISTRICT,AZ,AZ,,,.344,.016,.98230475
401600,CAMP VERDE UNIFIED DISTRICT,AZ,AZ,,,.5039,.0349,.98354775
401680,CARTWRIGHT ELEMENTARY DISTRICT,AZ,AZ,.3437,.0209,.1677,.015,.9935149
401710,CASA GRANDE ELEMENTARY DISTRICT,AZ,AZ,.6097,.0285,.441,.0128,.98223066
401760,CATALINA FOOTHILLS UNIFIED DISTRICT,AZ,AZ,,,.4083,.0211,.97758108
401870,CHANDLER UNIFIED DISTRICT,AZ,AZ,.6258,.0132,.7702,.0081,.989447
402250,CONTINENTAL ELEMENTARY DISTRICT,AZ,AZ,,,.4347,.0584,.9905287
402320,COOLIDGE UNIFIED DISTRICT,AZ,AZ,.6534,.0249,.4966,.0164,.98860204
402370,COTTONWOOD-OAK CREEK ELEMENTARY DISTRICT,AZ,AZ,,,.4325,.0189,.98960203
402400,CRANE ELEMENTARY DISTRICT,AZ,AZ,.5243,.1487,.5058,.0153,.98979366
402430,CREIGHTON ELEMENTARY DISTRICT,AZ,AZ,.5371,.0337,.2577,.0232,.99521887
402600,DUNCAN UNIFIED DISTRICT,AZ,AZ,,,.7042000000000001,.2563,.9963606
402690,DYSART UNIFIED DISTRICT,AZ,AZ,.4352,.0113,.4577,.0084,.98501533
402860,FLAGSTAFF UNIFIED DISTRICT,AZ,AZ,.5299,.4309,.6866,.0128,.98507738
402920,FLORENCE UNIFIED SCHOOL DISTRICT,AZ,AZ,.3591,.0204,.3114,.0153,.98620653
403010,FLOWING WELLS UNIFIED DISTRICT,AZ,AZ,.1856,.1949,.3014,.0145,.99360573
403060,FOWLER ELEMENTARY DISTRICT,AZ,AZ,.5984,.0334,.3985,.028,.99097848
403150,FORT HUACHUCA ACCOMMODATION DISTRICT,AZ,AZ,.253,.0568,.229,.0636,.954328
403400,GILBERT UNIFIED DISTRICT,AZ,AZ,.5572,.0124,.4504,.0079,.98950368
403420,GLENDALE ELEMENTARY DISTRICT,AZ,AZ,.4012,.0164,.2167,.0118,.98927057
403500,GLOBE UNIFIED DISTRICT,AZ,AZ,,,.3204,.0319,.98055273
403780,HIGLEY UNIFIED SCHOOL DISTRICT,AZ,AZ,.4915,.0303,.3566,.0138,.98203593
403820,HOLBROOK UNIFIED DISTRICT,AZ,AZ,,,.5789,.0754,.98223019
403870,HUMBOLDT UNIFIED DISTRICT,AZ,AZ,,,.3477,.015,.98352683
403990,J O COMBS UNIFIED SCHOOL DISTRICT,AZ,AZ,.3852,.0561,.4154,.0172,.98689449
404230,KYRENE ELEMENTARY DISTRICT,AZ,AZ,.7423,.0108,.5517,.0086,.98101991
404280,LAKE HAVASU UNIFIED DISTRICT,AZ,AZ,,,.3192,.0195,.98571432
404290,LAVEEN ELEMENTARY DISTRICT,AZ,AZ,.6319,.0199,.389,.0189,.98732758
404320,LIBERTY ELEMENTARY DISTRICT,AZ,AZ,.4513,.044,.5109,.0155,.98804438
404380,LITCHFIELD ELEMENTARY DISTRICT,AZ,AZ,.617,.0143,.4791,.0096,.98465008
404410,LITTLEFIELD UNIFIED DISTRICT,AZ,AZ,,,.1334,.2465,.97450268
404440,LITTLETON ELEMENTARY DISTRICT,AZ,AZ,.4219,.0262,.3051,.0198,.98719388
404500,MADISON ELEMENTARY DISTRICT,AZ,AZ,.72,.0238,.7618,.0133,.98732322
404570,MAMMOTH-SAN MANUEL UNIFIED DISTRICT,AZ,AZ,,,.254,.0893,.99894482
404630,MARANA UNIFIED DISTRICT,AZ,AZ,.3287,.0314,.3038,.0104,.98311973
404720,MARICOPA UNIFIED SCHOOL DISTRICT,AZ,AZ,.6948,.0201,.5127,.0141,.98190916
404770,ALTAR VALLEY ELEMENTARY DISTRICT,AZ,AZ,,,.4396,.0442,.98902553
404970,MESA UNIFIED DISTRICT,AZ,AZ,.6458,.0116,.6641,.0067,.9920941
405030,MIAMI UNIFIED DISTRICT,AZ,AZ,,,.1634,.0325,.99234486
405190,MOHAVE VALLEY ELEMENTARY DISTRICT,AZ,AZ,,,.3213,.0274,.98688984
405320,MORENCI UNIFIED DISTRICT,AZ,AZ,,,.1674,.0374,.98750257
405460,NADABURG UNIFIED SCHOOL DISTRICT,AZ,AZ,,,.3777,.0351,.98512691
405640,ORACLE ELEMENTARY DISTRICT,AZ,AZ,,,.4013,.0445,.99530864
405670,OSBORN ELEMENTARY DISTRICT,AZ,AZ,.3768,.0317,.2968,.023,.99083954
405850,PALO VERDE ELEMENTARY DISTRICT,AZ,AZ,,,.3059,.0719,.99226725
405880,PALOMINAS ELEMENTARY DISTRICT,AZ,AZ,,,.4311,.0324,.98921335
405930,PARADISE VALLEY UNIFIED DISTRICT,AZ,AZ,.5875,.0159,.7455000000000001,.0109,.97835696
405980,PARKER UNIFIED SCHOOL DISTRICT,AZ,AZ,,,.4431,.0439,.97292882
406070,PAYSON UNIFIED DISTRICT,AZ,AZ,,,.3633,.0298,.98155141
406210,PENDERGAST ELEMENTARY DISTRICT,AZ,AZ,.539,.0178,.396,.0131,.98759967
406250,PEORIA UNIFIED SCHOOL DISTRICT,AZ,AZ,.4773,.0128,.4643,.0068,.98308206
406300,PHOENIX ELEMENTARY DISTRICT,AZ,AZ,.8613,.026,.8564000000000001,.0217,.99180949
406440,PIMA UNIFIED DISTRICT,AZ,AZ,,,.6161,.0697,.98751867
406580,BLUE RIDGE UNIFIED DISTRICT,AZ,AZ,,,.6128,.0303,.97786963
406730,PRESCOTT UNIFIED DISTRICT,AZ,AZ,,,.5589,.0221,.98320407
406810,QUEEN CREEK UNIFIED DISTRICT,AZ,AZ,.4174,.0711,.4865,.0177,.99062777
406850,RAY UNIFIED DISTRICT,AZ,AZ,,,-.2037,.6406,.99058717
407080,ROOSEVELT ELEMENTARY DISTRICT,AZ,AZ,.4208,.0242,.2654,.0219,.99269664
407130,ROUND VALLEY UNIFIED DISTRICT,AZ,AZ,,,.3685,.0446,.99475378
407170,SADDLE MOUNTAIN UNIFIED SCHOOL DISTRICT,AZ,AZ,,,.2384,.0382,.98880398
407240,SAFFORD UNIFIED DISTRICT,AZ,AZ,,,.4589,.0202,.99288213
407300,SAHUARITA UNIFIED DISTRICT,AZ,AZ,.3155,.1481,.4542,.0175,.98470807
407520,SANTA CRUZ VALLEY UNIFIED DISTRICT,AZ,AZ,,,.1227,.1251,.99504524
407570,SCOTTSDALE UNIFIED DISTRICT,AZ,AZ,.7498,.0222,.798,.0092,.98874551
407700,SHOW LOW UNIFIED DISTRICT,AZ,AZ,,,.4505,.0302,.98747462
407750,DEER VALLEY UNIFIED DISTRICT,AZ,AZ,.5129,.0148,.458,.0077,.98246384
407820,SNOWFLAKE UNIFIED DISTRICT,AZ,AZ,,,.5352,.04,.99003416
408080,ST JOHNS UNIFIED DISTRICT,AZ,AZ,,,1.0069,.3329,.9913463
408170,SUNNYSIDE UNIFIED DISTRICT,AZ,AZ,.3358,.0305,.2982,.018,.99633366
408280,TANQUE VERDE UNIFIED DISTRICT,AZ,AZ,,,.4679,.034,.98669815
408310,TEMPE SCHOOL DISTRICT,AZ,AZ,.6963,.0164,.6308,.01,.98464787
408410,THATCHER UNIFIED DISTRICT,AZ,AZ,,,.5745,.1278,.99074602
408490,TOLLESON ELEMENTARY DISTRICT,AZ,AZ,.3915,.1075,.2814,.0779,.99382919
408550,TOLTEC ELEMENTARY DISTRICT,AZ,AZ,,,.3414,.0304,.9926644
408600,TOMBSTONE UNIFIED DISTRICT,AZ,AZ,,,.2954,.0746,.98116773
408800,TUCSON UNIFIED DISTRICT,AZ,AZ,.6593,.012,.5024,.0072,.98491985
408820,UNION ELEMENTARY DISTRICT,AZ,AZ,.5306,.0479,.3047,.0348,.99208528
408850,VAIL UNIFIED DISTRICT,AZ,AZ,.3761,.0243,.358,.0126,.98735023
409060,WASHINGTON ELEMENTARY SCHOOL DISTRICT,AZ,AZ,.5202,.011,.4387,.0065,.98821819
409190,WICKENBURG UNIFIED DISTRICT,AZ,AZ,,,.4628,.0555,.99222869
409250,WILLCOX UNIFIED DISTRICT,AZ,AZ,,,.5079,.0379,.99146873
409310,WILLIAMS UNIFIED DISTRICT,AZ,AZ,,,.3739,.0652,.98282117
409460,WINSLOW UNIFIED DISTRICT,AZ,AZ,,,.3716,.0355,.98984283
409600,YUMA ELEMENTARY DISTRICT,AZ,AZ,.3126,.0266,.4546,.0119,.9917801
409733,SEDONA-OAK CREEK JUSD #9,AZ,AZ,,,.8717,.0405,.96595562
500001,DEWITT SCHOOL DISTRICT,AR,AR,.5794,.2135,,,1
500006,WARREN SCHOOL DISTRICT,AR,AR,.6985,.0363,.3851,.0428,1
500019,BATESVILLE SCHOOL DISTRICT,AR,AR,.3522,.1756,.6454,.0459,.99941432
500023,NEWPORT SCHOOL DISTRICT,AR,AR,.6599,.0317,,,.99927765
500028,STAR CITY SCHOOL DISTRICT,AR,AR,.5603,.0308,,,.99985379
500029,GOSNELL SCHOOL DISTRICT,AR,AR,.5997,.0442,,,1
500032,BEARDEN SCHOOL DISTRICT,AR,AR,1.2453,.9327,,,1
500042,HAMBURG SCHOOL DISTRICT,AR,AR,.6982,.0404,.0749,.1086,1
500044,MAGNOLIA SCHOOL DISTRICT,AR,AR,.8676,.0291,,,.99977219
500045,SO. MISS. COUNTY SCHOOL DIST.,AR,AR,.4861,.0391,,,.99967945
500049,DEQUEEN SCHOOL DISTRICT,AR,AR,,,.228,.0257,1
500065,LAFAYETTE COUNTY SCHOOL DISTRICT,AR,AR,.4021,.0671,,,1
500067,CLEVELAND COUNTY SCHOOL DIST.,AR,AR,.7418,.0711,,,.99884892
502430,ARKADELPHIA SCHOOL DISTRICT,AR,AR,.718,.0316,,,.99980766
502580,ASHDOWN SCHOOL DISTRICT,AR,AR,.7167,.0332,,,.99971455
502670,AUGUSTA SCHOOL DISTRICT,AR,AR,.5829,.3873,,,1
502730,BARTON-LEXA SCHOOL DISTRICT,AR,AR,.1928,.0715,,,1
502960,BENTON SCHOOL DISTRICT,AR,AR,.7298,.0347,.5197000000000001,.0607,.99959469
503060,BENTONVILLE SCHOOL DISTRICT,AR,AR,.5256,.0318,.4283,.018,.99908394
503150,BERRYVILLE SCHOOL DISTRICT,AR,AR,,,.232,.0301,.99869055
503320,BLYTHEVILLE SCHOOL DISTRICT,AR,AR,.5883000000000001,.0267,,,.99906039
503630,BRINKLEY SCHOOL DISTRICT,AR,AR,.2652,.1452,,,.99883586
503690,BRYANT SCHOOL DISTRICT,AR,AR,.6402,.0211,.5374,.0272,.99991661
503750,CABOT SCHOOL DISTRICT,AR,AR,.6813,.1396,.2622,.0325,.9992888
504350,CLARENDON SCHOOL DISTRICT,AR,AR,.6211,.1965,,,1
504380,CLARKSVILLE SCHOOL DISTRICT,AR,AR,,,.4632,.0246,.99936008
504590,CONWAY SCHOOL DISTRICT,AR,AR,.6978,.0211,.5997,.0266,.99976814
504800,CROSSETT SCHOOL DISTRICT,AR,AR,.6549,.0296,,,.99919748
504890,DANVILLE SCHOOL DISTRICT,AR,AR,,,.3923,.0507,.99907476
504930,DARDANELLE SCHOOL DISTRICT,AR,AR,,,.364,.0302,.99989963
504980,DECATUR SCHOOL DISTRICT,AR,AR,,,.5341,.2249,1
505470,DREW CENTRAL SCHOOL DISTRICT,AR,AR,.5701000000000001,.0576,,,1
505500,DUMAS SCHOOL DISTRICT,AR,AR,.4784,.0347,,,1
505680,EL DORADO SCHOOL DISTRICT,AR,AR,.9209000000000001,.0226,.6468,.086,.99970174
505850,ENGLAND SCHOOL DISTRICT,AR,AR,.5965,.0458,,,1
506060,CAMDEN FAIRVIEW SCHOOL DIST.,AR,AR,.6178,.0238,,,.99927342
506120,FAYETTEVILLE SCHOOL DISTRICT,AR,AR,.7899000000000001,.0211,.7269,.0201,.99909073
506210,FORDYCE SCHOOL DISTRICT,AR,AR,.8767,.0463,,,1
506270,FORREST CITY SCHOOL DISTRICT,AR,AR,.3939,.0321,,,.99980581
506330,FORT SMITH SCHOOL DISTRICT,AR,AR,.6192,.0166,.5368000000000001,.0125,.99960631
506540,GENTRY SCHOOL DISTRICT,AR,AR,,,.3951,.6582,1
506870,GREEN FOREST SCHOOL DISTRICT,AR,AR,,,.3129,.0331,.99941176
507110,GURDON SCHOOL DISTRICT,AR,AR,.8244,.1336,,,1
507290,HARMONY GROVE SCHOOL DISTRICT,AR,AR,.5579,.0964,,,1
507530,HAZEN SCHOOL DISTRICT,AR,AR,.792,.1805,,,1
507840,HOPE SCHOOL DISTRICT,AR,AR,.5702,.0265,.4999,.0359,.99906838
507860,HORATIO SCHOOL DISTRICT,AR,AR,,,.2111,.1071,1
507890,HOT SPRINGS SCHOOL DISTRICT,AR,AR,.6648,.0193,.3826,.0309,.99940884
507920,JESSIEVILLE SCHOOL DISTRICT,AR,AR,,,.492,.6127,.99899065
508040,WEST MEMPHIS SCHOOL DISTRICT,AR,AR,.9059,.0299,,,.99982357
508130,HUNTSVILLE SCHOOL DISTRICT,AR,AR,,,.4113,.1262,.99958426
508280,JONESBORO SCHOOL DISTRICT,AR,AR,.8066,.0198,.6063,.0269,.99984199
508340,JUNCTION CITY SCHOOL DISTRICT,AR,AR,.6029,.1054,,,.99962962
508400,RIVERVIEW SCHOOL DISTRICT,AR,AR,-.0498,.2724,,,.9993872
508610,LAKE HAMILTON SCHOOL DISTRICT,AR,AR,,,.3969,.0462,.99849504
508640,LAKESIDE SCHOOL DISTRICT,AR,AR,.8135,.2845,,,1
508670,LAKESIDE SCHOOL DISTRICT,AR,AR,.6760000000000001,.0593,.5187000000000001,.0674,.99829829
509000,LITTLE ROCK SCHOOL DISTRICT,AR,AR,1.1049,.012,.9350000000000001,.017,.99522704
509060,LONOKE SCHOOL DISTRICT,AR,AR,.3687,.0308,,,.99956095
509240,MALVERN SCHOOL DISTRICT,AR,AR,.5435,.0254,,,.99969572
509390,MARION SCHOOL DISTRICT,AR,AR,.6833,.019,,,.99989992
509420,MARKED TREE SCHOOL DISTRICT,AR,AR,.0877,.1746,,,1
509630,MCGEHEE SCHOOL DISTRICT,AR,AR,.6171,.0331,,,1
509840,MONTICELLO SCHOOL DISTRICT,AR,AR,.7804,.0302,,,.99961209
510380,NASHVILLE SCHOOL DISTRICT,AR,AR,.8124,.0327,.4531,.0535,.99866408
510440,NETTLETON SCHOOL DISTRICT,AR,AR,.7235,.0274,.6269,.1164,.99952632
510620,NORPHLET SCHOOL DISTRICT,AR,AR,.178,.2521,,,1
510680,N. LITTLE ROCK SCHOOL DISTRICT,AR,AR,1.0261,.0145,.8109,.0251,.99943674
510950,OSCEOLA SCHOOL DISTRICT,AR,AR,.5475,.0559,,,1
511820,PRESCOTT SCHOOL DISTRICT,AR,AR,.4604,.037,,,.99931473
511850,PULASKI CO. SPEC. SCHOOL DIST.,AR,AR,.6015,.0092,.3388,.0178,.99966902
511970,ROGERS SCHOOL DISTRICT,AR,AR,.3087,.1121,.4098,.0138,.99873656
512060,RUSSELLVILLE SCHOOL DISTRICT,AR,AR,.6733,.028,.4189,.0236,.99992591
512210,SEARCY SCHOOL DISTRICT,AR,AR,.6821,.038,.0562,.0898,.99950254
512450,SILOAM SPRINGS SCHOOL DISTRICT,AR,AR,,,.5282,.021,.99950188
512520,SO. CONWAY CO. SCHOOL DISTRICT,AR,AR,.4148,.0288,,,.99956506
512660,SPRINGDALE SCHOOL DISTRICT,AR,AR,.622,.0309,.5954,.0127,.9748351
512930,STRONG-HUTTIG SCHOOL DISTRICT,AR,AR,-1.5499,.9961,,,.99788308
512960,STUTTGART SCHOOL DISTRICT,AR,AR,.8267,.0308,,,.99952531
513110,TEXARKANA SCHOOL DISTRICT,AR,AR,.6846,.0202,,,.99854076
513410,VAN BUREN SCHOOL DISTRICT,AR,AR,.4597,.2001,.2826,.0208,.99916226
513680,WALDRON SCHOOL DISTRICT,AR,AR,,,-.7168,.5063,1
513930,WATSON CHAPEL SCHOOL DISTRICT,AR,AR,.5515,.0211,,,.99945062
514140,WHITE HALL SCHOOL DISTRICT,AR,AR,.5063,.0304,,,.99948525
514160,WICKES SCHOOL DISTRICT,AR,AR,,,.5465,.6804,.99653542
514430,WYNNE SCHOOL DISTRICT,AR,AR,.6715,.0226,,,1
600001,ACTON-AGUA DULCE UNIFIED,CA,CA,,,.5159,.0404,.99261111
600006,ROSS VALLEY ELEMENTARY,CA,CA,,,1.2264,.2332,.98889083
600013,ROCKLIN UNIFIED,CA,CA,,,.3345,.0205,.97814363
600014,HESPERIA UNIFIED,CA,CA,.6131,.0158,.3586,.0092,.98900658
600015,LUCERNE VALLEY UNIFIED,CA,CA,,,.3495,.0474,.99583524
600016,UPLAND UNIFIED,CA,CA,.7133000000000001,.0211,.5724,.0133,.98302567
600017,APPLE VALLEY UNIFIED,CA,CA,.603,.0172,.3714,.0127,.99048835
600019,DUBLIN UNIFIED,CA,CA,.6522,.0329,.5134,.0247,.94264853
600020,PLEASANTON UNIFIED,CA,CA,.6515,.0392,.7301,.0188,.97752535
600025,MANHATTAN BEACH UNIFIED,CA,CA,,,.3612,.0466,.99477756
600026,EL TEJON UNIFIED,CA,CA,,,.2857,.0769,.98818898
600027,LAKE ELSINORE UNIFIED,CA,CA,.2679,.0209,.4188,.0117,.97775692
600028,TEMECULA VALLEY UNIFIED,CA,CA,.4051,.0171,.3694,.0099,.95817983
600029,MURRIETA VALLEY UNIFIED,CA,CA,.5357,.0247,.4064,.0112,.96148449
600032,REDONDO BEACH UNIFIED,CA,CA,.5252,.0433,.5543,.0181,.97366238
600033,DOS PALOS ORO LOMA JOINT UNIFIED,CA,CA,,,.3621,.0324,.99945098
600034,WINDSOR UNIFIED,CA,CA,,,.6947,.0195,.99181908
600036,NATOMAS UNIFIED,CA,CA,.7731,.0215,.5958,.0177,.9388808
