leaid,leaname,fips,stateabb,gapblk,gapseblk,gaphsp,gapsehsp,racepercent
1301890,LAURENS COUNTY,GA,GA,.6762,.0221,.3666,.1675,.99165624
1301920,EARLY COUNTY,GA,GA,.7156,.0317,,,.99104548
1301950,ECHOLS COUNTY,GA,GA,,,.2747,.0752,.98744369
1301980,EFFINGHAM COUNTY,GA,GA,.5728,.0149,.131,.0317,.98948944
1302010,ELBERT COUNTY,GA,GA,.6656,.0247,.476,.0771,.98752749
1302040,EMANUEL COUNTY,GA,GA,.6142,.018,-.2007,.7391,.99010271
1302070,EVANS COUNTY,GA,GA,.4392,.0358,.0157,.0586,.98624575
1302130,FAYETTE COUNTY,GA,GA,.5695,.0115,.5432,.0179,.98919308
1302190,FLOYD COUNTY,GA,GA,.4815,.0261,.1812,.0197,.98841119
1302220,FORSYTH COUNTY,GA,GA,.5403,.0206,.611,.0145,.99135339
1302250,FRANKLIN COUNTY,GA,GA,.6062,.0352,.094,.2303,.99063313
1302280,FULTON COUNTY,GA,GA,1.1043,.0117,1.0377,.0138,.98966962
1302310,GAINESVILLE CITY,GA,GA,1.1048,.0234,.9874000000000001,.0225,.98880649
1302340,GILMER COUNTY,GA,GA,,,.4533,.0209,.98969769
1302400,GLYNN COUNTY,GA,GA,.8101,.0126,.4801,.0187,.98830026
1302430,GORDON COUNTY,GA,GA,,,.1351,.0183,.98890281
1302460,GRADY COUNTY,GA,GA,.5275,.02,.3471,.0265,.98630083
1302490,GREENE COUNTY,GA,GA,.4227,.0366,.7698,.3121,.99047351
1302520,SPALDING COUNTY,GA,GA,.4837,.0117,.1181,.0272,.98898238
1302550,GWINNETT COUNTY,GA,GA,.6389,.0078,.7495000000000001,.0102,.98814309
1302580,HABERSHAM COUNTY,GA,GA,,,.5764,.02,.98703533
1302610,HALL COUNTY,GA,GA,.6274,.0185,.5475,.011,.98795438
1302700,HARRIS COUNTY,GA,GA,.5883000000000001,.0217,.8692,.2635,.99223918
1302730,HART COUNTY,GA,GA,.599,.0228,-1.3954,1.5796,.98921359
1302790,HEARD COUNTY,GA,GA,.4327,.466,,,.98832381
1302820,HENRY COUNTY,GA,GA,.3152,.0084,.292,.0126,.98751569
1302880,HOUSTON COUNTY,GA,GA,.6433,.0102,.396,.0154,.98783243
1302910,IRWIN COUNTY,GA,GA,.6127,.0305,,,.98685569
1302940,JACKSON COUNTY,GA,GA,.5269,.0328,.3025,.0213,.98885185
1302970,JASPER COUNTY,GA,GA,.4546,.0365,,,.98797357
1303000,JEFF DAVIS COUNTY,GA,GA,.5054,.0282,.287,.0397,.9892363
1303030,JEFFERSON CITY,GA,GA,.8205,.0803,-.0365,.3953,.98978043
1303060,JEFFERSON COUNTY,GA,GA,.587,.0256,,,.9901405
1303090,JENKINS COUNTY,GA,GA,.5657,.0335,,,.99424636
1303120,JOHNSON COUNTY,GA,GA,.6642,.0347,,,.99066108
1303150,JONES COUNTY,GA,GA,.4767,.0181,,,.99053049
1303210,LAMAR COUNTY,GA,GA,.417,.0296,,,.98950714
1303240,LANIER COUNTY,GA,GA,.4518,.0312,,,.98897249
1303270,LEE COUNTY,GA,GA,.5365,.0181,,,.99104524
1303300,LIBERTY COUNTY,GA,GA,.3788,.0134,.0987,.0208,.98609149
1303330,LINCOLN COUNTY,GA,GA,.6299,.0447,,,.98826045
1303360,LONG COUNTY,GA,GA,.4151,.0256,.2288,.0447,.98616582
1303390,LOWNDES COUNTY,GA,GA,.5623,.0151,.2583,.0267,.98928541
1303420,LUMPKIN COUNTY,GA,GA,,,.3104,.0517,.99115407
1303450,MACON COUNTY,GA,GA,.644,.2035,,,.99354422
1303480,MADISON COUNTY,GA,GA,.5834,.0338,.2505,.0387,.98920089
1303510,MARIETTA CITY,GA,GA,.9342,.0205,1.0137,.0218,.98891938
1303540,MARION COUNTY,GA,GA,.5638,.0361,,,.97883803
1303570,MCDUFFIE COUNTY,GA,GA,.5392,.0213,,,.99282622
